Player,Season,Age,Nation,Club,Matchs_played,Minutes_played,Titular_played,Goals,Assists,Position
Andre Gray,2019-2020,28,Jamaica,Watford,23,755,7,2,0,FW
Andreas Pereira,2019-2020,23,Brazil,Manchester Utd,25,1484,18,1,3,MF
Andriy Yarmolenko,2018-2019,28,Ukraine,West Ham,9,459,5,2,0,MF
Andriy Yarmolenko,2019-2020,29,Ukraine,West Ham,23,991,10,5,1,MF
Andriy Yarmolenko,2020-2021,30,Ukraine,West Ham,15,375,1,0,1,FW
Andriy Yarmolenko,2021-2022,31,Ukraine,West Ham,19,316,1,1,0,FW
Andros Townsend,2018-2019,27,England,Crystal Palace,38,3009,34,6,4,FW
Andros Townsend,2019-2020,28,England,Crystal Palace,24,1294,14,1,1,FW
Andros Townsend,2020-2021,29,England,Crystal Palace,34,2258,25,1,5,MF
Andros Townsend,2021-2022,30,England,Everton,21,1455,17,3,2,MF
Andros Townsend,2023-2024,32,England,Luton Town,27,1210,14,1,3,MF
André Ayew,2022-2023,32,Ghana,Nott'ham Forest,13,316,1,0,0,FW
André Gomes,2023-2024,30,Portugal,Everton,12,508,3,1,0,MF
André Schürrle,2018-2019,27,Germany,Fulham,24,1641,21,6,0,FW
Andy Carroll,2018-2019,29,England,West Ham,12,461,3,0,0,FW
Andy Carroll,2019-2020,30,England,Newcastle Utd,19,632,4,0,4,FW
Andy Carroll,2020-2021,31,England,Newcastle Utd,18,392,4,1,0,FW
Angel Gomes,2018-2019,17,England,Manchester Utd,2,27,0,0,0,MF
Ansu Fati,2023-2024,20,Spain,Brighton,19,521,3,2,0,MF
Anthony Elanga,2020-2021,18,Sweden,Manchester Utd,2,155,2,1,0,FW
Anthony Elanga,2021-2022,19,Sweden,Manchester Utd,21,1214,14,2,2,FW
Anthony Elanga,2022-2023,20,Sweden,Manchester Utd,16,426,5,0,1,FW
Anthony Elanga,2023-2024,21,Sweden,Nott'ham Forest,36,2433,25,5,9,FW
Anthony Gordon,2019-2020,18,England,Everton,11,440,4,0,1,MF
Anthony Gordon,2021-2022,20,England,Everton,35,2285,25,4,2,MF
Anthony Gordon,2022-2023,21,England,2 Teams,32,1582,16,4,0,FW
Anthony Gordon,2023-2024,22,England,Newcastle Utd,35,2890,34,11,10,FW
Anthony Knockaert,2018-2019,26,France,Brighton,30,1837,18,2,6,MF
