Unnamed: 0,Player,Unnamed: 2,Season,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Playing Time.4,Playing Time.5,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Performance.13,Performance.14,Performance.15,Unnamed: 30,-additional
329,Owen Goodman,,2022-2023,18,ca CAN,Crystal Palace,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,8074e66f
292,Patrik Gunnarsson,,2021-2022,20,is ISL,Brentford,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,4d39152d
215,Paulo Gazzaniga,2,2018-2019,26,ar ARG,Tottenham,eng Premier League,3,270,3.0,3,0,32,0,0,0,0,0,0,0,2,13,11,84.6,2,0,1,1,33.3,GK,63d17038
121,Paulo Gazzaniga,26,2019-2020,27,ar ARG,Tottenham,eng Premier League,18,1613,17.9,17,1,20,0,0,0,0,0,0,0,26,82,56,72.0,5,5,7,2,11.8,GK,63d17038
143,Pepe Reina,20,2019-2020,36,es ESP,Aston Villa,eng Premier League,12,1080,12.0,12,0,4,0,0,0,0,0,0,0,20,53,32,66.0,3,3,6,2,16.7,GK,e358587b
166,Petr Čech,9,2018-2019,36,cz CZE,Arsenal,eng Premier League,7,584,6.5,7,0,29,0,0,0,0,0,0,0,9,37,28,75.7,5,0,2,1,14.3,GK,71672fa0
Rk,Player,GA,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Pos,-9999
Rk,Player,GA,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Pos,-9999
400,Radek Vítek,,2023-2024,19,,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,d617bff6
218,Ralf Fährmann,1,2019-2020,30,de GER,Norwich City,eng Premier League,1,21,0.2,1,0,19,0,0,0,0,0,0,0,1,2,1,100.0,,,1,,,GK,1e43fad8
266,Remi Matthews,,2021-2022,27,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,7,,,,,,,,,,,,0,0,0,,,GK,27f4f772
219,Remi Matthews,1,2023-2024,29,eng ENG,Crystal Palace,eng Premier League,1,4,0.0,0,1,28,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,,GK,27f4f772
365,Rob Elliot,,2019-2020,33,ie IRL,Newcastle Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,b1b25949
366,Rob Elliot,,2021-2022,35,ie IRL,Watford,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,b1b25949
115,Robert Sánchez,27,2020-2021,22,es ESP,Brighton,eng Premier League,27,2430,27.0,27,0,0,0,0,0,0,0,0,0,27,91,65,72.5,7,10,10,10,37.0,GK,6a713852
68,Robert Sánchez,42,2021-2022,23,es ESP,Brighton,eng Premier League,37,3329,37.0,37,0,0,0,0,0,0,0,0,0,42,141,99,72.3,12,15,10,11,29.7,GK,6a713852
105,Robert Sánchez,30,2022-2023,24,es ESP,Brighton,eng Premier League,23,2070,23.0,23,0,10,0,0,0,0,0,0,0,30,74,46,66.2,11,5,7,6,26.1,GK,6a713852
125,Robert Sánchez,25,2023-2024,25,es ESP,Chelsea,eng Premier League,16,1433,15.9,16,0,2,0,0,0,0,0,0,0,25,78,52,70.5,5,4,7,3,18.8,GK,6a713852
148,Roberto,17,2019-2020,33,es ESP,West Ham,eng Premier League,8,687,7.6,7,1,12,0,0,0,0,0,0,0,17,51,35,68.6,0,1,6,0,0.0,GK,ba3ca78f
168,Robin Olsen,9,2020-2021,30,se SWE,Everton,eng Premier League,7,630,7.0,7,0,21,0,0,0,0,0,0,0,9,30,21,73.3,2,3,2,2,28.6,GK,e7ee38c3
207,Robin Olsen,3,2021-2022,31,se SWE,Aston Villa,eng Premier League,1,90,1.0,1,0,17,0,0,0,0,0,0,0,3,5,2,40.0,0,0,1,0,0.0,GK,e7ee38c3
173,Robin Olsen,8,2022-2023,32,se SWE,Aston Villa,eng Premier League,4,281,3.1,2,2,30,0,0,0,0,0,0,0,8,19,11,63.2,1,0,1,1,50.0,GK,e7ee38c3
155,Robin Olsen,13,2023-2024,33,se SWE,Aston Villa,eng Premier League,5,405,4.5,4,1,26,0,0,0,0,0,0,0,13,34,20,61.8,1,0,3,0,0.0,GK,e7ee38c3
56,Rui Patrício,46,2018-2019,30,pt POR,Wolves,eng Premier League,37,3329,37.0,37,0,0,0,0,0,0,0,0,0,46,138,96,68.8,15,9,13,7,18.9,GK,79b0d6a0
72,Rui Patrício,40,2019-2020,31,pt POR,Wolves,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,40,129,88,69.8,15,14,9,13,34.2,GK,79b0d6a0
40,Rui Patrício,51,2020-2021,32,pt POR,Wolves,eng Premier League,37,3329,37.0,37,0,1,0,0,0,0,0,0,0,51,148,99,70.3,12,9,16,10,27.0,GK,79b0d6a0
319,Ryan Schofield,,2018-2019,18,eng ENG,Huddersfield,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,74947a21
232,Rúnar Alex Rúnarsson,0,2020-2021,25,is ISL,Arsenal,eng Premier League,1,16,0.2,0,1,21,0,0,0,0,0,0,0,0,2,2,100.0,0,0,0,0,,GK,8fa8f8d2
4,Sam Johnstone,74,2020-2021,27,eng ENG,West Brom,eng Premier League,37,3330,37.0,37,0,0,0,1,1,0,0,0,0,74,234,162,71.4,4,11,22,6,16.2,GK,9e5708be
163,Sam Johnstone,10,2022-2023,29,eng ENG,Crystal Palace,eng Premier League,9,810,9.0,9,0,21,0,0,0,0,0,0,0,10,34,25,76.5,4,3,2,3,33.3,GK,9e5708be
118,Sam Johnstone,27,2023-2024,30,eng ENG,Crystal Palace,eng Premier League,20,1796,20.0,20,0,4,0,0,0,0,0,0,0,27,67,41,62.7,5,6,9,6,30.0,GK,9e5708be
371,Sam Proctor,,2023-2024,16,eng ENG,Aston Villa,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,b96cec48
331,Sam Waller,,2021-2022,17,eng ENG,Burnley,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,8ee48565
274,Scott Carson,,2019-2020,33,eng ENG,Manchester City,eng Premier League,0,,,0,0,10,,,,,,,,,,,,0,0,0,,,GK,3e1550ee
200,Scott Carson,3,2020-2021,34,eng ENG,Manchester City,eng Premier League,1,90,1.0,1,0,3,0,0,0,0,0,0,0,3,5,1,60.0,1,0,0,0,0.0,GK,3e1550ee
275,Scott Carson,,2021-2022,35,eng ENG,Manchester City,eng Premier League,0,,,0,0,18,,,,,,,,,,,,0,0,0,,,GK,3e1550ee
276,Scott Carson,,2022-2023,36,eng ENG,Manchester City,eng Premier League,0,,,0,0,5,,,,,,,,,,,,0,0,0,,,GK,3e1550ee
277,Scott Carson,,2023-2024,37,eng ENG,Manchester City,eng Premier League,0,,,0,0,13,,,,,,,,,,,,0,0,0,,,GK,3e1550ee
27,Sergio Rico,56,2018-2019,24,es ESP,Fulham,eng Premier League,29,2610,29.0,29,0,6,0,0,0,0,0,0,0,56,165,111,68.5,6,3,20,5,17.2,GK,5f0241b2
258,Sergio Romero,,2018-2019,31,ar ARG,Manchester Utd,eng Premier League,0,,,0,0,29,,,,,,,,,,,,0,0,0,,,GK,1e26e376
259,Sergio Romero,,2019-2020,32,ar ARG,Manchester Utd,eng Premier League,0,,,0,0,35,,,,,,,,,,,,0,0,0,,,GK,1e26e376
397,Simon Mignolet,,2018-2019,30,be BEL,Liverpool,eng Premier League,0,,,0,0,37,,,,,,,,,,,,0,0,0,,,GK,d436eb94
183,Simon Moore,6,2019-2020,29,eng ENG,Sheffield Utd,eng Premier League,2,180,2.0,2,0,25,0,0,0,0,0,0,0,6,11,5,45.5,0,1,1,0,0.0,GK,e7434f04
225,Stefan Ortega,1,2022-2023,29,de GER,Manchester City,eng Premier League,3,270,3.0,3,0,35,0,0,0,0,0,0,0,1,15,14,93.3,2,1,0,2,66.7,GK,c1242d4e
179,Stefan Ortega,7,2023-2024,30,de GER,Manchester City,eng Premier League,9,635,7.1,5,4,29,0,0,0,0,0,0,0,7,27,20,74.1,4,1,0,3,60.0,GK,c1242d4e
327,Teddy Sharman,,2023-2024,20,eng ENG,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,7cd31238
1,Thomas Kaminski,85,2023-2024,30,be BEL,Luton Town,eng Premier League,38,3405,37.8,38,0,0,0,0,0,0,0,0,0,85,221,140,63.3,6,8,24,2,5.3,GK,1caa93a5
271,Thomas Strakosha,,2022-2023,27,al ALB,Brentford,eng Premier League,0,,,0,0,17,,,,,,,,,,,,0,0,0,,,GK,339fe0e8
